13.0,1438548095.26,-100.0,-100.0,13.0,1438548095.29,-100.0,-100.0,13.0,1438548095.31,-100.0,-100.0,13.0,1438548095.33,-100.0,-100.0,13.0,1438548095.36,-100.0,-100.0,13.0,1438548095.38,-100.0,-100.0,13.0,1438548095.41,-100.0,-100.0,13.0,1438548095.44,-100.0,-100.0,
14.0,1438548101.04,-100.0,-100.0,14.0,1438548101.07,-100.0,-100.0,14.0,1438548101.09,-100.0,-100.0,14.0,1438548101.12,-100.0,-100.0,14.0,1438548101.15,-100.0,-100.0,14.0,1438548101.17,-100.0,-100.0,14.0,1438548101.2,-100.0,-100.0,14.0,1438548101.23,-100.0,-100.0,
15.0,1438548106.9,-100.0,-100.0,15.0,1438548106.92,-100.0,-100.0,15.0,1438548106.94,-100.0,-100.0,15.0,1438548106.97,-100.0,-100.0,15.0,1438548106.99,-100.0,-100.0,15.0,1438548107.02,-100.0,-100.0,15.0,1438548107.05,-100.0,-100.0,15.0,1438548107.07,-100.0,-100.0,
16.0,1438548112.75,-100.0,-100.0,16.0,1438548112.77,-100.0,-100.0,16.0,1438548112.8,-100.0,-100.0,16.0,1438548112.82,-100.0,-100.0,16.0,1438548112.84,-100.0,-100.0,16.0,1438548112.87,-100.0,-100.0,16.0,1438548112.9,-100.0,-100.0,16.0,1438548112.92,-100.0,-100.0,
17.0,1438548118.81,-100.0,-100.0,17.0,1438548118.83,-100.0,-100.0,17.0,1438548118.86,-100.0,-100.0,17.0,1438548118.88,-100.0,-100.0,17.0,1438548118.9,-100.0,-100.0,17.0,1438548118.93,-100.0,-100.0,17.0,1438548118.96,-100.0,-100.0,17.0,1438548118.98,-100.0,-100.0,
18.0,1438548125.04,-100.0,-100.0,18.0,1438548125.07,-100.0,-100.0,18.0,1438548125.09,-100.0,-100.0,18.0,1438548125.12,-100.0,-100.0,18.0,1438548125.15,-100.0,-100.0,18.0,1438548125.17,-100.0,-100.0,18.0,1438548125.19,-100.0,-100.0,18.0,1438548125.22,-100.0,-100.0,
19.0,1438548131.4,-100.0,-100.0,19.0,1438548131.43,-100.0,-100.0,19.0,1438548131.45,-100.0,-100.0,19.0,1438548131.48,-100.0,-100.0,19.0,1438548131.51,-100.0,-100.0,19.0,1438548131.53,-100.0,-100.0,19.0,1438548131.56,-100.0,-100.0,19.0,1438548131.59,-100.0,-100.0,
20.0,1438548137.75,-100.0,-100.0,20.0,1438548137.77,-100.0,-100.0,20.0,1438548137.8,-100.0,-100.0,20.0,1438548137.83,-100.0,-100.0,20.0,1438548137.85,-100.0,-100.0,20.0,1438548137.88,-100.0,-100.0,20.0,1438548137.9,-100.0,-100.0,20.0,1438548137.92,-100.0,-100.0,
21.0,1438548144.92,-100.0,-100.0,21.0,1438548144.95,-100.0,-100.0,21.0,1438548144.97,-100.0,-100.0,21.0,1438548145.01,-100.0,-100.0,21.0,1438548145.03,-100.0,-100.0,21.0,1438548145.06,-100.0,-100.0,21.0,1438548145.09,-100.0,-100.0,21.0,1438548145.12,-100.0,-100.0,
22.0,1438548152.13,-100.0,-100.0,22.0,1438548152.16,-100.0,-100.0,22.0,1438548152.19,-100.0,-100.0,22.0,1438548152.22,-100.0,-100.0,22.0,1438548152.25,-100.0,-100.0,22.0,1438548152.28,-100.0,-100.0,22.0,1438548152.3,-100.0,-100.0,22.0,1438548152.33,-100.0,-100.0,
23.0,1438548159.7,-100.0,-100.0,23.0,1438548159.73,-100.0,-100.0,23.0,1438548159.75,-100.0,-100.0,23.0,1438548159.78,-100.0,-100.0,23.0,1438548159.82,-100.0,-100.0,23.0,1438548159.84,-100.0,-100.0,23.0,1438548159.87,-100.0,-100.0,23.0,1438548159.9,-100.0,-100.0,
